461 1195.816268 1.883E-21 6.280E+00.07130.065 1403.05680.750.000000              1              0                    P 41      532210 1 1 1 1 1 0    81.0   83.0
461 1197.595918 5.619E-23 1.300E+01.07320.067 2235.55260.750.000000              2              1                    P 34      532210 1 1 1 1 1 0    67.0   69.0
461 1197.898143 2.546E-21 6.320E+00.07160.065 1336.42420.750.000000              1              0                    P 40      532210 1 1 1 1 1 0    79.0   81.0
461 1199.591332 7.151E-23 1.310E+01.07350.068 2180.60370.750.000000              2              1                    P 33      532210 1 1 1 1 1 0    65.0   67.0
461 1199.969432 3.419E-21 6.370E+00.07180.065 1271.39950.750.000000              1              0                    P 39      532210 1 1 1 1 1 0    77.0   79.0
461 1201.575941 8.953E-23 1.310E+01.07370.068 2127.25920.750.000000              2              1                    P 32      532210 1 1 1 1 1 0    63.0   65.0
461 1202.030103 4.545E-21 6.410E+00.07210.066 1207.98390.750.000000              1              0                    P 38      532210 1 1 1 1 1 0    75.0   77.0
461 1203.549714 1.120E-22 1.320E+01.07400.069 2075.52000.750.000000              2              1                    P 31      532210 1 1 1 1 1 0    61.0   63.0
461 1204.080126 5.991E-21 6.450E+00.07240.066 1146.17870.750.000000              1              0                    P 37      532210 1 1 1 1 1 0    73.0   75.0
461 1205.512619 1.388E-22 1.330E+01.07430.069 2025.38730.750.000000              2              1                    P 30      532210 1 1 1 1 1 0    59.0   61.0
461 1206.119471 7.842E-21 6.500E+00.07260.067 1085.98520.750.000000              1              0                    P 36      532210 1 1 1 1 1 0    71.0   73.0
461 1207.464626 1.705E-22 1.340E+01.07460.069 1976.86190.750.000000              2              1                    P 29      532210 1 1 1 1 1 0    57.0   59.0
461 1208.148107 1.016E-20 6.540E+00.07290.067 1027.40450.750.000000              1              0                    P 35      532210 1 1 1 1 1 0    69.0   71.0
461 1209.405704 2.075E-22 1.350E+01.07490.070 1929.94490.750.000000              2              1                    P 28      532210 1 1 1 1 1 0    55.0   57.0
461 1210.166003 1.307E-20 6.590E+00.07320.067  970.43770.750.000000              1              0                    P 34      532210 1 1 1 1 1 0    67.0   69.0
461 1211.335823 2.503E-22 1.360E+01.07520.070 1884.63720.750.000000              2              1                    P 27      532210 1 1 1 1 1 0    53.0   55.0
461 1212.173129 1.664E-20 6.630E+00.07350.068  915.08610.750.000000              1              0                    P 33      532210 1 1 1 1 1 0    65.0   67.0
461 1213.254950 2.991E-22 1.370E+01.07550.071 1840.93970.750.000000              2              1                    P 26      532210 1 1 1 1 1 0    51.0   53.0
461 1214.169452 2.103E-20 6.680E+00.07370.068  861.35060.750.000000              1              0                    P 32      532210 1 1 1 1 1 0    63.0   65.0
461 1215.163054 3.540E-22 1.380E+01.07580.071 1798.85320.750.000000              2              1                    P 25      532210 1 1 1 1 1 0    49.0   51.0
461 1216.154944 2.630E-20 6.720E+00.07400.069  809.23230.750.000000              1              0                    P 31      532210 1 1 1 1 1 0    61.0   63.0
461 1217.060106 4.151E-22 1.390E+01.07620.072 1758.37860.750.000000              2              1                    P 24      532210 1 1 1 1 1 0    47.0   49.0
461 1218.129573 3.266E-20 6.770E+00.07430.069  758.73240.750.000000              1              0                    P 30      532210 1 1 1 1 1 0    59.0   61.0
461 1218.946072 4.821E-22 1.400E+01.07650.072 1719.51680.750.000000              2              1                    P 23      532210 1 1 1 1 1 0    45.0   47.0
461 1220.093307 4.018E-20 6.820E+00.07460.069  709.85160.750.000000              1              0                    P 29      532210 1 1 1 1 1 0    57.0   59.0
461 1220.820923 5.543E-22 1.410E+01.07680.073 1682.26830.750.000000              2              1                    P 22      532210 1 1 1 1 1 0    43.0   45.0
461 1222.046117 4.891E-20 6.860E+00.07490.070  662.59110.750.000000              1              0                    P 28      532210 1 1 1 1 1 0    55.0   57.0
461 1222.684627 6.310E-22 1.420E+01.07720.073 1646.63410.750.000000              2              1                    P 21      532210 1 1 1 1 1 0    41.0   43.0
461 1223.987970 5.908E-20 6.910E+00.07520.070  616.95170.750.000000              1              0                    P 27      532210 1 1 1 1 1 0    53.0   55.0
461 1224.537153 7.110E-22 1.430E+01.07750.074 1612.61480.750.000000              2              1                    P 20      532210 1 1 1 1 1 0    39.0   41.0
461 1225.918836 7.070E-20 6.960E+00.07550.071  572.93440.750.000000              1              0                    P 26      532210 1 1 1 1 1 0    51.0   53.0
461 1226.378469 7.928E-22 1.440E+01.07790.074 1580.21110.750.000000              2              1                    P 19      532210 1 1 1 1 1 0    37.0   39.0
461 1227.838683 8.381E-20 7.010E+00.07580.071  530.54000.750.000000              1              0                    P 25      532210 1 1 1 1 1 0    49.0   51.0
461 1228.208543 8.744E-22 1.450E+01.07820.075 1549.42360.750.000000              2              1                    P 18      532210 1 1 1 1 1 0    35.0   37.0
461 1229.747482 9.841E-20 7.060E+00.07620.072  489.76930.750.000000              1              0                    P 24      532210 1 1 1 1 1 0    47.0   49.0
461 1230.027346 9.538E-22 1.460E+01.07860.075 1520.25290.750.000000              2              1                    P 17      532210 1 1 1 1 1 0    33.0   35.0
461 1231.645199 1.144E-19 7.110E+00.07650.072  450.62310.750.000000              1              0                    P 23      532210 1 1 1 1 1 0    45.0   47.0
461 1231.834844 1.028E-21 1.470E+01.07900.076 1492.69960.750.000000              2              1                    P 16      532210 1 1 1 1 1 0    31.0   33.0
461 1233.531805 1.317E-19 7.160E+00.07680.073  413.10230.750.000000              1              0                    P 22      532210 1 1 1 1 1 0    43.0   45.0
461 1233.631006 1.096E-21 1.480E+01.07940.076 1466.76430.750.000000              2              1                    P 15      532210 1 1 1 1 1 0    29.0   31.0
461 1235.407267 1.501E-19 7.210E+00.07720.073  377.20750.750.000000              1              0                    P 21      532210 1 1 1 1 1 0    41.0   43.0
461 1235.415802 1.152E-21 1.490E+01.07980.077 1442.44740.750.000000              2              1                    P 14      532210 1 1 1 1 1 0    27.0   29.0
461 1237.189199 1.204E-21 1.510E+01.08020.078 1419.74950.750.000000              2              1                    P 13      532210 1 1 1 1 1 0    25.0   27.0
461 1237.271555 1.694E-19 7.260E+00.07750.074  342.93950.750.000000              1              0                    P 20      532210 1 1 1 1 1 0    39.0   41.0
461 1238.951165 1.232E-21 1.520E+01.08060.079 1398.67100.750.000000              2              1                    P 12      532210 1 1 1 1 1 0    23.0   25.0
461 1239.124637 1.890E-19 7.310E+00.07790.074  310.29890.750.000000              1              0                    P 19      532210 1 1 1 1 1 0    37.0   39.0
461 1240.701669 1.249E-21 1.540E+01.08100.079 1379.21240.750.000000              2              1                    P 11      532210 1 1 1 1 1 0    21.0   23.0
461 1240.966482 2.090E-19 7.370E+00.07820.075  279.28640.750.000000              1              0                    P 18      532210 1 1 1 1 1 0    35.0   37.0
461 1242.440680 1.237E-21 1.550E+01.08150.080 1361.37390.750.000000              2              1                    P 10      532210 1 1 1 1 1 0    19.0   21.0
461 1242.797058 2.282E-19 7.420E+00.07860.075  249.90250.750.000000              1              0                    P 17      532210 1 1 1 1 1 0    33.0   35.0
461 1244.168165 1.210E-21 1.570E+01.08190.081 1345.15600.750.000000              2              1                    P  9      532210 1 1 1 1 1 0    17.0   19.0
461 1244.616334 2.466E-19 7.480E+00.07900.076  222.14800.750.000000              1              0                    P 16      532210 1 1 1 1 1 0    31.0   33.0
461 1245.884094 1.157E-21 1.590E+01.08240.082 1330.55890.750.000000              2              1                    P  8      532210 1 1 1 1 1 0    15.0   17.0
461 1246.424278 2.633E-19 7.540E+00.07940.076  196.02320.750.000000              1              0                    P 15      532210 1 1 1 1 1 0    29.0   31.0
461 1247.588433 1.086E-21 1.620E+01.08290.084 1317.58310.750.000000              2              1                    P  7      532210 1 1 1 1 1 0    13.0   15.0
